,precision,recall,f1-score,support
0,0.819634703196347,0.8466981132075472,0.8329466357308585,424.0
1,0.7627737226277372,0.7256944444444444,0.7437722419928826,288.0
accuracy,0.797752808988764,0.797752808988764,0.797752808988764,0.797752808988764
macro avg,0.7912042129120421,0.7861962788259957,0.7883594388618705,712.0
weighted avg,0.7966347560000555,0.797752808988764,0.7968760944435873,712.0
