Measure,Method,Lower,Upper
Risk difference,Wald,0.004690506988105671,0.010727751578257862
Risk difference,Bootstrap,0.004705127507227079,0.010768251574704806
Relative risk,Log-Wald,1.4332908885358975,2.3063019619794054
Relative risk,Bootstrap,1.4410559302429347,2.32849875018109
Relative risk,Score (Table2x2),1.4332908885358973,2.306301961979406
Odds ratio,Log-Wald,1.440307813392208,2.33120998048897
Odds ratio,Score (Table2x2),1.4403078133922094,2.3312099804889725
